time,open,high,low,close,tick_volume,spread,real_volume,time_utc,time_server
1786670100,4354.07,4357.75,4352.8,4357.19,3259,25,0,2026-08-14 01:15:00,2026-08-14 04:15:00
1786671000,4357.18,4362.78,4355.8,4360.46,4054,20,0,2026-08-14 01:30:00,2026-08-14 04:30:00
1786671900,4360.45,4361.13,4353.31,4354.79,4389,20,0,2026-08-14 01:45:00,2026-08-14 04:45:00
1786672800,4354.8,4360.56,4349.19,4360.55,4462,20,0,2026-08-14 02:00:00,2026-08-14 05:00:00
1786673700,4360.56,4363.08,4357.04,4363.04,4163,20,0,2026-08-14 02:15:00,2026-08-14 05:15:00
1786674600,4363.04,4363.5,4358.64,4360.26,3875,20,0,2026-08-14 02:30:00,2026-08-14 05:30:00
1786675500,4360.26,4364.15,4356.5,4356.5,4709,20,0,2026-08-14 02:45:00,2026-08-14 05:45:00
1786676400,4356.44,4361.96,4350.51,4352.16,6467,20,0,2026-08-14 03:00:00,2026-08-14 06:00:00
1786677300,4352.18,4352.19,4339.48,4339.49,6478,20,0,2026-08-14 03:15:00,2026-08-14 06:15:00
1786678200,4339.46,4346.93,4334.5,4339.73,6929,20,0,2026-08-14 03:30:00,2026-08-14 06:30:00
1786679100,4339.72,4342.7,4329.37,4341.0,7190,20,0,2026-08-14 03:45:00,2026-08-14 06:45:00
1786680000,4341.0,4341.47,4322.22,4324.21,9120,20,0,2026-08-14 04:00:00,2026-08-14 07:00:00
1786680900,4324.22,4326.11,4315.1,4319.57,8226,20,0,2026-08-14 04:15:00,2026-08-14 07:15:00
1786681800,4319.58,4321.48,4313.05,4319.56,7293,20,0,2026-08-14 04:30:00,2026-08-14 07:30:00
1786682700,4319.58,4323.28,4312.23,4318.16,7766,20,0,2026-08-14 04:45:00,2026-08-14 07:45:00
1786683600,4318.17,4322.79,4310.94,4312.45,6941,20,0,2026-08-14 05:00:00,2026-08-14 08:00:00
1786684500,4312.45,4318.33,4312.45,4313.05,5630,20,0,2026-08-14 05:15:00,2026-08-14 08:15:00
1786685400,4313.03,4322.63,4311.62,4321.14,7255,20,0,2026-08-14 05:30:00,2026-08-14 08:30:00
1786686300,4321.13,4321.96,4312.75,4315.65,6415,20,0,2026-08-14 05:45:00,2026-08-14 08:45:00
1786687200,4315.59,4323.78,4313.75,4320.14,5906,20,0,2026-08-14 06:00:00,2026-08-14 09:00:00
1786688100,4320.15,4326.15,4319.96,4325.78,5093,20,0,2026-08-14 06:15:00,2026-08-14 09:15:00
1786689000,4325.78,4328.16,4325.22,4325.7,3703,20,0,2026-08-14 06:30:00,2026-08-14 09:30:00
1786689900,4325.7,4326.8,4323.52,4323.55,2968,20,0,2026-08-14 06:45:00,2026-08-14 09:45:00
1786690800,4323.55,4327.22,4322.77,4326.05,3683,20,0,2026-08-14 07:00:00,2026-08-14 10:00:00
1786691700,4326.0,4327.83,4325.09,4325.19,3361,20,0,2026-08-14 07:15:00,2026-08-14 10:15:00
1786692600,4325.18,4326.46,4323.34,4325.27,3622,20,0,2026-08-14 07:30:00,2026-08-14 10:30:00
1786693500,4325.23,4326.87,4323.87,4326.86,2856,20,0,2026-08-14 07:45:00,2026-08-14 10:45:00
1786694400,4326.91,4327.0,4319.55,4320.28,4543,20,0,2026-08-14 08:00:00,2026-08-14 11:00:00
1786695300,4320.29,4320.35,4317.16,4318.37,3970,20,0,2026-08-14 08:15:00,2026-08-14 11:15:00
1786696200,4318.35,4324.92,4311.04,4317.74,7081,20,0,2026-08-14 08:30:00,2026-08-14 11:30:00
1786697100,4317.75,4333.58,4317.46,4333.58,6607,20,0,2026-08-14 08:45:00,2026-08-14 11:45:00
1786698000,4333.57,4336.62,4329.59,4332.52,6850,20,0,2026-08-14 09:00:00,2026-08-14 12:00:00
1786698900,4332.51,4333.58,4328.47,4329.27,5490,20,0,2026-08-14 09:15:00,2026-08-14 12:15:00
1786699800,4329.2,4333.05,4327.96,4333.03,5014,20,0,2026-08-14 09:30:00,2026-08-14 12:30:00
1786700700,4333.04,4335.83,4332.68,4335.66,5187,20,0,2026-08-14 09:45:00,2026-08-14 12:45:00
1786701600,4335.63,4337.18,4331.12,4331.16,4879,20,0,2026-08-14 10:00:00,2026-08-14 13:00:00
1786702500,4331.17,4333.4,4331.17,4333.15,800,20,0,2026-08-14 10:15:00,2026-08-14 13:15:00
